Title,Year,Topics,Authors,URL,GSC,Citations,Notes
,,,,,,,
Prudent Practices for Designing Malware Experiments: Status Quo and Outlook,2012,"Malware, Experimentation","Christian Rossow and Christian J. Dietrich (Institute for Internet Security, Gelsenkirchen), Chris Grier, Christian Kreibich, and Vern Paxson (International Computer Science Institute), Norbert Pohlmann (Institute for Internet Security, Gelsenkirchen), and Herbert Bos and Maarten van Steen (Vrije Universiteit Amsterdam)",rossow2012.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lNn4hRMAAAAJ&citation_for_view=lNn4hRMAAAAJ:mVmsd5A6BfQC,74,
Dissecting Android Malware: Characterization and Evolution,2012,"Malware, Mobile Security, Measurement",Yajin Zhou and Xuxian Jiang (North Carolina State University),zhou2012.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N1oeOPwAAAAJ&citation_for_view=N1oeOPwAAAAJ:IjCSPb-OGe4C,1172,
The Psychology of Security for the Home Computer User,2012,Usable Security,"Adele Howe, Indrajit Ray, Mark Roberts, Malgorzata Urbanska, and Zinta Byrne (Colorado State University)",howe2012.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FjV70BwAAAAJ&cstart=20&pagesize=80&citation_for_view=FjV70BwAAAAJ:D_sINldO8mEC,48,
"Peek-a-Boo, I Still See you: Why Efficient Traffic Analysis Countermeasures Fail",2012,"Anonymity, Measurement","Kevin P. Dyer (Portland State University), Scott E. Coull (RedJack, LLC), Thomas Ristenpart (University of Wisconsin-Madison), and Thomas Shrimpton (Portland State University)",dyer2012.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XOydMzsAAAAJ&citation_for_view=XOydMzsAAAAJ:9yKSN-GCB0IC,146,
Third-Party Web Tracking Policy and Technology,2012,"Web Security, Measurement, Policy, Tool","Jonathan R. Mayer, John C. Mitchell (Stanford University)",mayer2012.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qRFx7E8AAAAJ&citation_for_view=qRFx7E8AAAAJ:d1gkVwhDpl0C,265,
OB-PWS: Obfuscation-Based Private Web Search,2012,"Privacy, Evaluation","Ero Balsa, Carmela Troncoso, and Claudia Diaz (KULeuven-COSIC/IBBT)",balsa2012.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LhtWcbwAAAAJ&citation_for_view=LhtWcbwAAAAJ:d1gkVwhDpl0C,41,
The quest to replace passwords: A framework for comparative evaluation of web authentication schemes,2012,"Usable Security, Evaluation","Joseph Bonneau (University of Cambridge), Cormac Herley (Microsoft Research), Paul C. van Oorschot (Carleton U), and Frank Stajano (University of Cambridge)",bonneau2012.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ko1bXSkAAAAJ&citation_for_view=Ko1bXSkAAAAJ:4DMP91E08xMC,383,
,,,,,,,
SoK: Eternal War in Memory,2013,"Software Security, Evaluation","Laszlo Szekeres (Stony Brook University and UC Berkeley), Mathias Payer (UC Berkeley), Tao Wei (UC Berkeley and Peking University), and Dawn Song (UC Berkeley)",szekeres2013.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KeT4FigAAAAJ&citation_for_view=KeT4FigAAAAJ:9yKSN-GCB0IC,156,
SoK: P2PWNED — Modeling and Evaluating the Resilience of Peer-to-Peer Botnets,2013,"Botnets, Evaluation, Formalizing","Christian Rossow (Institute for Internet Security), Dennis Andriesse (VU University Amsterdam), Tillmann Werner (The Honeynet Project), Brett Stone-Gross (Dell SecureWorks), Daniel Plohmann (Fraunhofer FKIE), Christian J. Dietrich (Institute for Internet Security), and Herbert Bos (VU University Amsterdam)",rossow2013.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lNn4hRMAAAAJ&citation_for_view=lNn4hRMAAAAJ:9ZlFYXVOiuMC,89,
SoK: Secure Data Deletion,2013,"System Security, Taxonomy, Evaluation","Joel Reardon (ETH Zurich), David Basin (ETH Zurich), and Srdjan Capkun (ETH Zurich)",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VtkPBNsAAAAJ&cstart=20&pagesize=80&citation_for_view=VtkPBNsAAAAJ:bnK-pcrLprsC,63,
SoK: The Evolution of Sybil Defense via Social Networks,2013,Modeling,"Lorenzo Alvisi (University of Texas Austin), Allen Clement (MPI-SWS), Alessandro Epasto (Sapienza University of Rome), Silvio Lattanzi (Google, Inc), and Alessandro Panconesi (Sapienza University of Rome)",alvisi2013.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=K_-KJi8AAAAJ&cstart=20&pagesize=80&citation_for_view=K_-KJi8AAAAJ:z_wVstp3MssC,72,
SoK: SSL and HTTPS: Revisiting Past Challenges and Evaluating Certificate Trust Model Enhancements,2013,Protocols,Jeremy Clark (Carleton University) and Paul C. van Oorschot (Carleton University),clark2013.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oQrvLjYAAAAJ&citation_for_view=oQrvLjYAAAAJ:_Qo2XoVZTnwC,94,
,,,,,,,
SoK: Security and Privacy in Implantable Medical Devices and Body Area Networks,2014,"Devices, Evaluation","Michael Rushanan (Johns Hopkins University), Colleen Swanson (University of Michigan), Denis Foo Kune (University of Michigan), and Aviel D. Rubin (Johns Hopkins University)",rushanana2013.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ynU-sgIAAAAJ&citation_for_view=ynU-sgIAAAAJ:qjMakFHDy7sC,55,
SoK: Introspections on Trust and the Semantic Gap,2014,"Taxonomy, Evaluation","Bhushan Jain, Mirza Basim Baig, Dongli Zhang, Donald E. Porter, and Radu Sion (Stony Brook University)",jain2014.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5m7BWFEAAAAJ&citation_for_view=5m7BWFEAAAAJ:zYLM7Y9cAGgC,34,
,,,,,,,
SoK: Research Perspectives and Challenges for Bitcoin and Cryptocurrencies,2015,Cryptocurrencies,"Joseph Bonneau (Princeton University), Andrew Miller (University of Maryland), Jeremy Clark (Concordia University), Arvind Narayanan (Princeton University), Joshua A. Kroll (Princeton University), Edward W. Felten (Princeton University)",bonneau2015.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ko1bXSkAAAAJ&citation_for_view=Ko1bXSkAAAAJ:pUxgyZctzPYC,110,
SoK: Secure Messaging,2015,"Anonymity, Privacy","Nik Unger (Cheriton School of Computer Science, University of Waterloo), Sergej Dechand (Informatik IV, University of Bonn), Joseph Bonneau (Center For Information Technology Policy, Princeton), Sascha Fahl (Fraunhofer FKIE, Bonn), Henning Perl (Fraunhofer FKIE, Bonn), Ian Goldberg (Cheriton School of Computer Science, University of Waterloo), Matthew Smith (Informatik IV, University of Bonn)",unger2014.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ko1bXSkAAAAJ&citation_for_view=Ko1bXSkAAAAJ:eFf2swCANGcC,34,
SoK: A comprehensive analysis of game-based ballot privacy definitions,2015,"Voting, Modeling","David Bernhard (University of Bristol), Véronique Cortier (LORIA & CNRS), David Galindo (LORIA & Scytl), Olivier Pereira (Universite catholique de Louvain), Bogdan Warinschi (University of Bristol)",bernhard2014.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R4nPTYgAAAAJ&cstart=20&pagesize=80&citation_for_view=R4nPTYgAAAAJ:1qzjygNMrQYC,30,
SoK: Deep Packer Inspection: A Longitudinal Study of the Complexity of Run-Time Packers,2015,"Malware, Measurement","Xabier Ugarte-Pedrero (University of Deusto), Davide Balzarotti (EURECOM), Igor Santos Grueiro (University of Deusto), Pablo Garcia Bringas (University of Deusto)",ugarte2014.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZhQ0CxsAAAAJ&cstart=20&pagesize=80&citation_for_view=ZhQ0CxsAAAAJ:tOudhMTPpwUC,16,
,,,,,,,
SoK: (State of) The Art of War: Offensive Techniques in Binary Analysis,2016,"Malware, Software Security, Evaluation, Tool","Yan Shoshitaishvili, Ruoyu Wang, Christopher Salls, Nick Stephens, Mario Polino,Andrew Dutcher, John Grosen, Siji Feng, Christophe Hauser, Christopher Kruegel, and Giovanni Vigna (UC Santa Barbara)",shoshitaishvili2016.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ff1RkwcAAAAJ&citation_for_view=ff1RkwcAAAAJ:Zph67rFs4hoC,3,
SoK: Everyone Hates Robocalls: A Survey of Techniques against Telephone Spam ,2016,"Evaluation, Modeling","Huahong Tu, Adam Doupé, Ziming Zhao, and Gail-Joon Ahn (Arizona State University)",tu2016.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7qaoab4AAAAJ&citation_for_view=7qaoab4AAAAJ:u5HHmVD_uO8C,5,
SoK: Lessons Learned From Android Security Research For Appified Software Platforms,2016,"Mobile Security, Malware, Evaluation","Yasemin Acar (CISPA, Saarland University), Michael Backes (CISPA, Saarland University & MPI-SWS), Sven Bugiel and Sascha Fahl (CISPA, Saarland University), Patrick McDaniel (Pennsylvania State University), and Matthew Smith (University Bonn)",acar2016.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZVS3KOEAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=ZVS3KOEAAAAJ:RXiHnyRawswC,10,
SoK: Verifiability Notions for E-Voting Protocols,2016,"Voting, Modeling","Veronique Cortier (INRIA/Loria), David Galindo (University of Birmingham), Ralf Kuesters and Johannes Mueller (University of Trier), and Tomasz Truderung (Polyas)",cortier2016.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R4nPTYgAAAAJ&sortby=pubdate&citation_for_view=R4nPTYgAAAAJ:AXPGKjj_ei8C,2,
SoK: Towards Grounding Censorship Circumvention in Empiricism,2016,"Censorship, Experimentation","Michael C. Tschantz and Sadia Afroz (ICSI), Anonymous (unaffiliated), and Vern Paxson (UC Berkeley and ICSI)",tschantz2016.pdf,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u4epKYoAAAAJ&sortby=pubdate&citation_for_view=u4epKYoAAAAJ:XoXfffV-tXoC,2,
